Frequency																																																																																																	
100																																																																																																	
		RCA			RMH5			RTOE			RMH1			RMH2			RLM			RMM			RTT			RHF			RLE			RME			RGT			RASIS			LASIS			LPSIS			RPSIS			LME			LLE			LGT			LMM			LLM			LHF			LTT			LCA			LMH5			LTOE			LMH1			LMH2			FP1			FP2			FP3			FP4		
Frame	Sub-Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	101.857	1728.63	11.949	18.2799	1556.34	-3.44519	97.6789	1477.24	7.23287	105.21	1519.68	15.5726	71.0704	1526.12	14.966	54.7325	1673.07	40.4014	145.383	1653.81	54.1293	97.4943	1586.56	387.286	48.2522	1635.11	418.506	48.0257	1629.77	463.186	175.288	1631.67	446.187	18.3722	1623.75	838.98	76.4117	1534.03	934.682	347.448	1572.41	945.69	227.364	1731.62	990.79	150.776	1721.8	988.989	244.776	1618.98	445.196	368.223	1637.59	466.76	385.867	1648.14	871.966	288.024	1641.38	54.9885	374.455	1675.8	39.4955	369.931	1639.58	423.209	330.523	1581.56	390.877	317.519	1726.33	6.50944	415.951	1547.91	-2.26617	335.017	1470.34	8.72675	327.602	1521.03	18.5583	359.946	1519.53	16.0173	453.821	500.373	11.973	454.669	8.61302	9.8156	11.0085	9.42937	7.39578	9.3521	499.349	10.2004
2	0	101.834	1728.66	11.9559	18.2736	1556.37	-3.4465	97.6817	1477.24	7.22773	105.211	1519.71	15.5863	71.0697	1526.14	14.9691	54.7197	1673.06	40.403	145.374	1653.8	54.1409	97.4667	1586.59	387.287	48.1839	1635.13	418.493	47.9731	1629.8	463.19	175.232	1631.73	446.192	18.2766	1623.79	838.979	76.3171	1534.08	934.702	347.326	1572.37	945.675	227.273	1731.64	990.788	150.677	1721.85	988.993	244.734	1618.96	445.184	368.179	1637.6	466.779	385.782	1648.17	871.978	288.029	1641.35	54.9808	374.302	1675.89	39.4229	369.888	1639.57	423.218	330.487	1581.59	390.895	317.521	1726.33	6.50766	415.949	1547.92	-2.25996	335.018	1470.34	8.71748	327.585	1521.05	18.5657	359.949	1519.53	16.0199	453.818	500.374	11.9664	454.663	8.61353	9.80337	11.0078	9.43801	7.39184	9.35721	499.354	10.1963
3	0	101.846	1728.6	11.9271	18.2724	1556.36	-3.45953	97.7081	1477.26	7.25797	105.201	1519.71	15.5836	71.0739	1526.13	14.9626	54.718	1673.06	40.3894	145.365	1653.82	54.1619	97.408	1586.62	387.327	48.1394	1635.17	418.496	47.9099	1629.84	463.174	175.169	1631.77	446.192	18.2073	1623.79	838.964	76.2336	1534.09	934.686	347.209	1572.36	945.676	227.186	1731.67	990.803	150.586	1721.87	989.001	244.684	1618.98	445.188	368.121	1637.63	466.77	385.7	1648.18	871.988	288.087	1641.51	54.9968	374.445	1675.82	39.5119	369.862	1639.5	423.148	330.433	1581.6	390.903	317.488	1726.32	6.50336	415.947	1547.92	-2.25866	335.029	1470.34	8.7287	327.568	1521.04	18.5759	359.934	1519.52	16.017	453.803	500.376	11.9821	454.657	8.62087	9.81592	11.016	9.44135	7.40274	9.34041	499.363	10.1947
4	0	101.822	1728.67	11.9463	18.2716	1556.36	-3.45588	97.5866	1477.28	7.21465	105.207	1519.69	15.5793	71.0557	1526.15	14.9682	54.6978	1673.06	40.375	145.277	1653.71	54.0564	97.3794	1586.64	387.295	48.0816	1635.21	418.484	47.8536	1629.87	463.178	175.125	1631.81	446.215	18.0822	1623.8	838.962	76.1765	1534.07	934.681	347.184	1572.44	945.676	227.087	1731.67	990.792	150.517	1721.89	988.995	244.629	1618.97	445.179	368.073	1637.62	466.769	385.633	1648.21	871.987	287.971	1641.44	55.0091	374.433	1675.81	39.5087	369.814	1639.51	423.147	330.379	1581.59	390.898	317.498	1726.32	6.50269	415.925	1547.91	-2.24982	335.015	1470.33	8.71903	327.593	1521.03	18.5628	359.938	1519.53	16.0112	453.816	500.359	11.9923	454.651	8.61941	9.81637	11.004	9.44493	7.39898	9.3475	499.367	10.193
5	0	101.833	1728.63	11.9382	18.2866	1556.33	-3.46689	97.6983	1477.27	7.23498	105.22	1519.69	15.5968	71.0657	1526.11	14.9644	54.6912	1673.07	40.3742	145.252	1653.69	54.0502	97.3555	1586.66	387.296	48.0336	1635.2	418.48	47.8278	1629.85	463.163	175.069	1631.85	446.199	18.0101	1623.81	838.967	76.0901	1534.06	934.694	347.056	1572.37	945.678	226.987	1731.69	990.792	150.421	1721.9	989.001	244.58	1618.97	445.174	368.009	1637.61	466.759	385.547	1648.19	872.002	287.998	1641.36	54.9744	374.422	1675.82	39.5212	369.745	1639.56	423.217	330.342	1581.6	390.88	317.504	1726.3	6.51733	415.928	1547.91	-2.24816	335.02	1470.31	8.71274	327.581	1521.02	18.5692	359.948	1519.52	16.0147	453.81	500.371	11.9781	454.657	8.60662	9.80577	11.0073	9.44334	7.39089	9.34639	499.372	10.1996
6	0	101.827	1728.63	11.9277	18.2505	1556.37	-3.46529	97.6104	1477.24	7.20327	105.225	1519.68	15.5727	71.0658	1526.11	14.9538	54.6824	1673.08	40.3777	145.244	1653.7	54.0635	97.3142	1586.69	387.288	47.9795	1635.25	418.472	47.7972	1629.84	463.144	175.016	1631.88	446.201	17.9174	1623.81	838.942	76.0193	1534.07	934.663	346.975	1572.38	945.684	226.905	1731.69	990.784	150.338	1721.92	988.997	244.561	1618.93	445.158	367.966	1637.61	466.775	385.468	1648.21	872.045	287.982	1641.38	54.9764	374.397	1675.81	39.5156	369.696	1639.55	423.224	330.323	1581.56	390.892	317.504	1726.29	6.51013	415.937	1547.88	-2.26356	334.997	1470.3	8.70851	327.573	1521.01	18.5625	359.932	1519.51	16.0056	453.812	500.363	11.9806	454.657	8.59764	9.82034	11.0023	9.44107	7.39262	9.34749	499.358	10.1982
7	0	101.837	1728.59	11.9085	18.2709	1556.34	-3.46652	97.6845	1477.21	7.22664	105.222	1519.68	15.583	71.0744	1526.08	14.954	54.6676	1673.05	40.3686	145.237	1653.71	54.0569	97.2994	1586.69	387.303	47.9255	1635.27	418.476	47.7588	1629.85	463.142	174.959	1631.92	446.21	17.8419	1623.8	838.931	75.9547	1534.07	934.647	346.887	1572.38	945.685	226.824	1731.68	990.768	150.255	1721.92	988.982	244.526	1618.9	445.156	367.914	1637.58	466.758	385.384	1648.21	872.046	288.03	1641.32	54.9476	374.405	1675.8	39.5198	369.671	1639.53	423.224	330.3	1581.53	390.921	317.493	1726.27	6.5063	415.932	1547.85	-2.26774	334.993	1470.29	8.71873	327.579	1520.98	18.5544	359.929	1519.51	16.0093	453.811	500.353	11.9939	454.656	8.61043	9.8256	11.0157	9.43623	7.39276	9.35126	499.362	10.2023
8	0	101.833	1728.6	11.9234	18.3066	1556.27	-3.47723	97.6871	1477.22	7.21958	105.229	1519.66	15.5821	71.0793	1526.07	14.9455	54.6752	1673.06	40.3487	145.244	1653.71	54.0445	97.1523	1586.7	387.303	47.8908	1635.26	418.455	47.7591	1629.79	463.119	174.932	1631.98	446.211	17.7313	1623.79	838.929	75.8632	1534.1	934.664	346.793	1572.3	945.653	226.754	1731.69	990.768	150.171	1721.96	988.981	244.511	1618.88	445.154	367.852	1637.56	466.75	385.32	1648.22	872.05	288.041	1641.26	54.9219	374.417	1675.81	39.5289	369.641	1639.48	423.198	330.268	1581.54	390.882	317.498	1726.28	6.505	415.928	1547.83	-2.27518	334.999	1470.27	8.70047	327.577	1520.98	18.5601	359.938	1519.5	16.0114	453.818	500.35	11.9926	454.647	8.60892	9.81758	11.0343	9.4191	7.39277	9.35628	499.357	10.1906
