Frequency																																																																																																	
100																																																																																																	
		RCA			RMH5			RTOE			RMH1			RMH2			RLM			RMM			RTT			RHF			RLE			RME			RGT			RASIS			LASIS			LPSIS			RPSIS			LME			LLE			LGT			LMM			LLM			LHF			LTT			LCA			LMH5			LTOE			LMH1			LMH2			FP1			FP2			FP3			FP4		
Frame	Sub-Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	31.717	1886.17	33.1642	-74.6979	1716.17	-15.086	-3.20071	1630.06	3.66833	16.3352	1681.78	17.1895	-12.7713	1686.22	13.3901	-18.836	1837.85	61.7046	67.9763	1804.68	66.4267	28.507	1732.29	420.908	-26.5693	1802.47	456.826	-17.6613	1744.75	505.126	97.1208	1741.48	475.203	-36.7411	1759.99	901.524	14.8039	1664.91	991.62	290.307	1675.67	981.98	187.363	1856.3	1040.44	97.2905	1847.27	1037.83	222.985	1753.04	484.163	336.466	1767.74	494.806	340.822	1764.57	903.606	257.001	1817.16	61.1309	345.371	1849	47.2511	345.832	1794.45	456.66	288.546	1741.47	424.137	288.127	1891.79	35.8166	389.011	1728.52	-4.16409	314.554	1625.99	4.16333	312.163	1689.62	21.9689	343.525	1693.5	14.4601	455.559	500.371	12.4143	454.521	8.57617	10.1354	11.0081	9.31954	7.78558	9.41756	499.255	10.5391
2	0	31.7175	1886.17	33.1765	-74.6717	1716.12	-15.0934	-3.20231	1630.03	3.66575	16.3441	1681.75	17.1663	-12.7728	1686.21	13.3923	-18.8288	1837.84	61.7023	67.9798	1804.65	66.4259	28.5548	1732.27	420.933	-26.5772	1802.49	456.84	-17.6426	1744.77	505.122	97.1398	1741.48	475.206	-36.7394	1760	901.535	14.8231	1664.92	991.619	290.34	1675.75	982.011	187.383	1856.34	1040.44	97.3036	1847.33	1037.83	222.999	1753.04	484.158	336.474	1767.76	494.798	340.834	1764.6	903.603	256.995	1817.17	61.1493	345.366	1849	47.2515	345.837	1794.45	456.663	288.563	1741.49	424.128	288.127	1891.78	35.8223	389.014	1728.5	-4.14907	314.547	1626.01	4.14866	312.177	1689.61	21.9662	343.524	1693.47	14.4593	455.561	500.369	12.414	454.524	8.59433	10.124	11.0283	9.3017	7.77972	9.42659	499.255	10.5494
3	0	31.726	1886.16	33.1662	-74.6737	1716.1	-15.1036	-3.20452	1630.04	3.67998	16.3515	1681.73	17.1817	-12.7718	1686.21	13.3978	-18.8331	1837.88	61.7261	67.9756	1804.66	66.4206	28.5223	1732.34	420.903	-26.5582	1802.5	456.823	-17.6437	1744.81	505.131	97.1473	1741.49	475.215	-36.7269	1760.01	901.564	14.8396	1665	991.625	290.363	1675.79	982.01	187.405	1856.39	1040.44	97.323	1847.35	1037.83	222.982	1753.06	484.153	336.501	1767.79	494.81	340.855	1764.63	903.599	256.989	1817.19	61.1403	345.37	1849.01	47.2483	345.85	1794.48	456.653	288.553	1741.53	424.133	288.13	1891.79	35.8171	389.013	1728.51	-4.14879	314.552	1626.01	4.17618	312.184	1689.61	21.9733	343.524	1693.48	14.4624	455.567	500.369	12.4194	454.511	8.58312	10.1102	11.0154	9.31789	7.78316	9.40942	499.274	10.539
4	0	31.7354	1886.17	33.1839	-74.68	1716.16	-15.0973	-3.18542	1630.02	3.6698	16.3684	1681.73	17.1867	-12.7588	1686.26	13.4184	-18.8314	1837.88	61.728	67.9896	1804.68	66.4273	28.5712	1732.3	420.918	-26.5282	1802.48	456.812	-17.6366	1744.85	505.142	97.1622	1741.51	475.212	-36.6867	1759.97	901.55	14.8473	1665.03	991.647	290.367	1675.81	982.018	187.431	1856.41	1040.44	97.3412	1847.39	1037.83	222.987	1753.09	484.145	336.515	1767.8	494.813	340.857	1764.64	903.589	257.002	1817.16	61.1475	345.382	1849	47.2481	345.859	1794.5	456.67	288.556	1741.55	424.132	288.142	1891.77	35.7999	389.018	1728.51	-4.16524	314.555	1625.99	4.14522	312.159	1689.61	21.9785	343.527	1693.48	14.4554	455.555	500.364	12.4111	454.52	8.59668	10.125	11.0236	9.30785	7.79409	9.44396	499.274	10.5502
5	0	31.7404	1886.18	33.1766	-74.7221	1716.24	-15.0679	-3.18032	1630.02	3.65389	16.3455	1681.76	17.188	-12.7564	1686.23	13.4132	-18.8093	1837.84	61.6992	67.9804	1804.67	66.4036	28.5575	1732.31	420.931	-26.4993	1802.46	456.795	-17.5725	1744.85	505.134	97.1589	1741.52	475.203	-36.6948	1760.08	901.562	14.8679	1665.1	991.626	290.385	1675.88	982.04	187.467	1856.42	1040.44	97.3659	1847.42	1037.83	223.007	1753.1	484.15	336.533	1767.86	494.836	340.874	1764.65	903.586	257.007	1817.18	61.1306	345.39	1849	47.2408	345.879	1794.52	456.654	288.558	1741.54	424.133	288.158	1891.77	35.7994	389.012	1728.51	-4.16794	314.546	1625.96	4.16491	312.148	1689.6	21.9715	343.527	1693.47	14.4496	455.569	500.357	12.4229	454.535	8.59251	10.1251	11.021	9.33	7.77759	9.43285	499.279	10.5284
6	0	31.7434	1886.19	33.1754	-74.7193	1716.24	-15.0593	-3.19731	1630.03	3.66098	16.341	1681.74	17.162	-12.759	1686.23	13.4033	-18.7945	1837.84	61.6937	67.9826	1804.69	66.4302	28.5924	1732.33	420.937	-26.5046	1802.48	456.793	-17.5586	1744.87	505.122	97.1682	1741.53	475.199	-36.6679	1760.16	901.537	14.8907	1665.14	991.616	290.369	1675.82	981.99	187.493	1856.47	1040.45	97.3863	1847.45	1037.83	223.035	1753.07	484.163	336.526	1767.86	494.824	340.878	1764.66	903.581	257.005	1817.19	61.1467	345.374	1849	47.2468	345.879	1794.53	456.658	288.542	1741.59	424.135	288.154	1891.76	35.7881	389.003	1728.49	-4.18101	314.54	1625.97	4.12495	312.169	1689.6	21.9613	343.53	1693.48	14.4438	455.566	500.361	12.4149	454.516	8.60557	10.1235	11.0237	9.33077	7.78805	9.43436	499.271	10.5427
7	0	31.7512	1886.17	33.1642	-74.6973	1716.18	-15.0761	-3.19074	1630	3.65097	16.3506	1681.73	17.1694	-12.7494	1686.2	13.395	-18.8027	1837.82	61.6888	68.0076	1804.63	66.4081	28.6008	1732.37	420.91	-26.4865	1802.47	456.781	-17.5168	1744.88	505.132	97.1847	1741.55	475.208	-36.5951	1760.21	901.599	14.8856	1665.19	991.602	290.409	1675.9	982.019	187.504	1856.48	1040.45	97.4015	1847.47	1037.84	223.064	1753.07	484.146	336.529	1767.83	494.802	340.916	1764.68	903.577	257.013	1817.19	61.1564	345.382	1849.01	47.2486	345.873	1794.51	456.646	288.568	1741.57	424.135	288.165	1891.74	35.7724	389.019	1728.46	-4.16404	314.55	1625.99	4.16157	312.169	1689.59	21.9601	343.533	1693.46	14.44	455.561	500.362	12.4135	454.543	8.59296	10.1366	11.0108	9.31858	7.77556	9.42707	499.254	10.5377
8	0	31.7527	1886.18	33.1543	-74.6232	1716.06	-15.1397	-3.17701	1630	3.63976	16.3645	1681.68	17.1403	-12.7475	1686.18	13.3789	-18.7905	1837.8	61.6659	67.9912	1804.62	66.4016	28.5959	1732.39	420.923	-26.4755	1802.48	456.779	-17.4875	1744.9	505.13	97.1733	1741.57	475.208	-36.6056	1760.16	901.586	14.9415	1665.18	991.615	290.425	1675.92	982.041	187.522	1856.5	1040.45	97.4204	1847.48	1037.83	223.081	1753.07	484.146	336.538	1767.86	494.817	340.929	1764.7	903.589	256.992	1817.22	61.1488	345.393	1848.99	47.2324	345.902	1794.55	456.641	288.573	1741.61	424.121	288.182	1891.73	35.7576	389.02	1728.48	-4.18386	314.551	1625.96	4.15223	312.174	1689.53	21.9355	343.537	1693.43	14.4376	455.559	500.351	12.4071	454.543	8.58854	10.1239	11.0117	9.32126	7.76335	9.41964	499.253	10.5352
