Frequency																																																																																																	
100																																																																																																	
		RCA			RMH5			RTOE			RMH1			RMH2			RLM			RMM			RTT			RHF			RLE			RME			RGT			RASIS			LASIS			LPSIS			RPSIS			LME			LLE			LGT			LMM			LLM			LHF			LTT			LCA			LMH5			LTOE			LMH1			LMH2			FP1			FP2			FP3			FP4		
Frame	Sub-Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	-49.3107	1913.95	35.9537	-154.393	1744.22	-8.69587	-80.2269	1653.72	-0.84573	-61.9434	1709.1	14.0131	-92.2525	1712.51	13.0193	-98.8192	1866.91	60.214	-12.4035	1831.82	66.1551	-41.1551	1765.27	420.371	-94.7185	1836.42	456.784	-84.5666	1779.7	504.706	29.1022	1774.63	472.916	-93.2016	1792	900.798	-42.4101	1694.93	988.199	232.575	1701.03	980.223	133.82	1883.49	1042.76	43.7201	1876.01	1039.85	168.638	1785.01	485.4	282.947	1793.79	495.34	286.643	1790.5	903.534	208.11	1840.08	59.6764	298.713	1864.19	48.2378	294.521	1819.26	457.115	233.728	1768.73	425.23	244.048	1910.19	35.4688	331.937	1736.54	-0.834569	244.283	1640.88	-2.88944	251.249	1706.95	21.107	282.763	1705.9	14.921	455.562	500.333	12.4294	454.672	8.56279	10.1717	11.0434	9.35413	7.71274	9.43013	499.307	10.4504
2	0	-49.4136	1913.97	35.9089	-154.418	1744.24	-8.70103	-80.3991	1653.9	-0.843487	-61.9617	1709.13	14.0373	-92.2697	1712.53	12.9879	-98.9003	1866.96	60.1548	-12.4703	1831.86	66.1349	-41.0995	1765.2	420.599	-94.7615	1836.41	456.782	-84.612	1779.82	504.845	29.0694	1774.56	473.18	-92.9875	1792.19	900.765	-42.2356	1694.93	988.18	232.784	1701.06	980.253	134.028	1883.42	1042.79	43.9004	1875.96	1039.85	168.746	1784.87	485.705	283.06	1793.7	495.417	286.938	1790.34	903.546	208.109	1840.08	59.6867	298.72	1864.18	48.2327	294.632	1819.17	457.128	233.813	1768.54	425.509	244.034	1910.19	35.4922	331.904	1736.58	-0.810612	244.277	1640.89	-2.87963	251.219	1706.98	21.1098	282.736	1705.91	14.9335	455.56	500.33	12.4242	454.672	8.57736	10.1711	11.0406	9.36124	7.71447	9.43105	499.312	10.4708
3	0	-49.5302	1914.03	35.8736	-154.414	1744.19	-8.74307	-80.2315	1653.87	-0.814599	-61.9612	1709.16	14.0399	-92.2855	1712.54	12.9811	-98.976	1866.98	60.0911	-12.5361	1831.91	66.139	-41.0095	1765.13	420.853	-94.7863	1836.35	456.765	-84.602	1779.88	505.017	29.0685	1774.48	473.434	-92.9074	1791.92	900.773	-42.0047	1694.89	988.185	233.002	1700.96	980.279	134.256	1883.35	1042.81	44.1059	1875.9	1039.87	168.923	1784.65	486.016	283.21	1793.55	495.493	287.245	1790.17	903.552	208.122	1840.06	59.7047	298.721	1864.17	48.2344	294.654	1818.82	457.037	233.855	1768.39	425.74	244.057	1910.19	35.4949	331.898	1736.58	-0.810551	244.278	1640.94	-2.84476	251.233	1706.97	21.1102	282.74	1705.92	14.9231	455.566	500.334	12.4259	454.669	8.56348	10.1792	11.0449	9.36948	7.71482	9.42433	499.309	10.4664
4	0	-49.6567	1914.07	35.8206	-154.454	1744.23	-8.74493	-80.2141	1653.92	-0.797414	-61.9562	1709.21	14.053	-92.296	1712.58	13.0043	-99.0717	1867.04	60.0206	-12.6166	1831.95	66.1231	-41.0067	1764.97	421.095	-94.867	1836.27	456.737	-84.5821	1779.92	505.219	29.0713	1774.28	473.707	-92.7468	1792.01	900.693	-41.7875	1694.86	988.162	233.167	1700.8	980.3	134.498	1883.3	1042.84	44.3482	1875.84	1039.87	169.095	1784.36	486.262	283.352	1793.35	495.579	287.621	1790.03	903.567	208.109	1840.05	59.7159	298.723	1864.13	48.2241	294.772	1818.59	457.026	233.918	1768.12	425.995	244.06	1910.16	35.4849	331.88	1736.53	-0.801143	244.282	1640.94	-2.85468	251.234	1707	21.1082	282.743	1705.94	14.9522	455.563	500.335	12.4329	454.671	8.55415	10.1719	11.0377	9.37655	7.70216	9.43244	499.312	10.468
5	0	-49.7668	1914.13	35.7716	-154.458	1744.21	-8.77692	-80.1913	1653.96	-0.787508	-61.9905	1709.25	14.063	-92.3163	1712.59	12.9671	-99.1732	1867.08	59.9436	-12.6949	1832.02	66.1196	-41.0435	1764.74	421.27	-94.9018	1836.05	456.699	-84.4662	1779.87	505.47	29.0743	1774.08	473.933	-92.4743	1792.25	900.691	-41.5361	1694.8	988.117	233.405	1700.72	980.311	134.745	1883.29	1042.87	44.6049	1875.84	1039.89	169.256	1783.98	486.519	283.507	1793.1	495.66	287.995	1789.87	903.563	208.12	1840.03	59.7038	298.699	1864.11	48.2211	294.876	1818.26	457.051	234	1767.8	426.281	244.042	1910.18	35.4894	331.838	1736.6	-0.767772	244.287	1640.95	-2.86345	251.217	1707.04	21.1357	282.744	1705.94	14.954	455.568	500.326	12.4287	454.682	8.56501	10.178	11.0402	9.36824	7.70594	9.42118	499.293	10.4652
6	0	-49.9104	1914.16	35.7131	-154.496	1744.22	-8.77195	-80.1969	1654.07	-0.754875	-62.0092	1709.3	14.078	-92.3247	1712.63	12.9846	-99.2628	1867.13	59.8854	-12.7982	1832.01	66.0978	-41.0958	1764.4	421.462	-94.9152	1835.76	456.648	-84.2979	1779.67	505.677	29.0568	1773.78	474.077	-92.2228	1792.17	900.725	-41.2814	1694.83	988.069	233.648	1700.66	980.354	135.018	1883.28	1042.89	44.8763	1875.84	1039.91	169.409	1783.52	486.71	283.635	1792.7	495.762	288.339	1789.71	903.56	208.102	1840.02	59.7018	298.688	1864.1	48.2531	294.983	1817.8	457.068	234.077	1767.43	426.472	244.035	1910.18	35.4895	331.778	1736.57	-0.748333	244.298	1640.96	-2.84593	251.212	1707.08	21.1364	282.709	1705.98	14.9822	455.564	500.322	12.4345	454.677	8.55877	10.1889	11.0412	9.38563	7.71992	9.42294	499.319	10.4676
7	0	-50.0144	1914.18	35.6701	-154.5	1744.23	-8.78807	-80.1644	1654.09	-0.75067	-61.9802	1709.32	14.0764	-92.3142	1712.61	12.9851	-99.3431	1867.13	59.8188	-12.8794	1832.05	66.0867	-41.1594	1764.12	421.554	-94.8838	1835.35	456.578	-83.0074	1779.15	505.644	29.0685	1773.41	474.182	-92.1146	1792.24	900.518	-41.0034	1694.85	988.01	233.858	1700.52	980.34	135.336	1883.27	1042.91	45.1601	1875.82	1039.91	169.558	1782.96	486.869	283.814	1792.19	495.825	288.736	1789.55	903.577	208.082	1840	59.6943	298.692	1864.07	48.2645	294.263	1816.3	456.514	234.165	1766.94	426.599	244.041	1910.15	35.4844	331.763	1736.6	-0.716041	244.314	1640.99	-2.82362	251.206	1707.08	21.1393	282.712	1705.97	14.9811	455.564	500.344	12.4232	454.669	8.56587	10.1933	11.0388	9.37688	7.71108	9.42532	499.306	10.4674
8	0	-50.1076	1914.19	35.6384	-154.486	1744.17	-8.81343	-80.1444	1654.12	-0.732348	-62.0128	1709.36	14.0871	-92.329	1712.63	12.988	-99.4032	1867.12	59.7537	-12.9162	1832.07	66.0572	-41.159	1763.75	421.602	-94.7999	1834.96	456.507	-82.8436	1778.85	505.846	28.9478	1773.31	474.2	-91.8745	1791.51	900.639	-40.6683	1694.84	987.948	234.131	1700.44	980.348	135.68	1883.24	1042.92	45.4812	1875.8	1039.9	169.723	1782.28	487.022	284.047	1791.56	495.907	289.16	1789.36	903.614	208.088	1839.93	59.6761	298.688	1864.03	48.2605	294.41	1815.62	456.472	234.305	1766.26	426.628	244.026	1910.13	35.4893	331.724	1736.57	-0.697062	244.337	1640.97	-2.82302	251.218	1707.09	21.1221	282.688	1705.98	14.9956	455.562	500.341	12.4154	454.671	8.56076	10.1807	11.0371	9.36892	7.70597	9.42258	499.31	10.4495
