Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-1.86E-05	4.81E-06	-6.08E-06	-9.23E-06
1	1	0	0	0	0	0	0	232	254	0	-1.79E-05	4.53E-06	-7.81E-06	-9.95E-06
1	2	0	0	0	0	0	0	232	254	0	-1.79E-05	4.53E-06	-7.81E-06	-9.95E-06
1	3	0	0	0	0	0	0	232	254	0	-1.84E-05	4.44E-06	-8.22E-06	-1.36E-05
1	4	0	0	0	0	0	0	232	254	0	-1.84E-05	4.44E-06	-8.22E-06	-1.36E-05
1	5	0	0	0	0	0	0	232	254	0	-1.91E-05	4.18E-06	-8.07E-06	-1.57E-05
1	6	0	0	0	0	0	0	232	254	0	-1.91E-05	4.18E-06	-8.07E-06	-1.57E-05
1	7	0	0	0	0	0	0	232	254	0	-1.98E-05	4.93E-06	-7.35E-06	-1.43E-05
1	8	0	0	0	0	0	0	232	254	0	-1.98E-05	4.93E-06	-7.35E-06	-1.43E-05
1	9	0	0	0	0	0	0	232	254	0	-2.17E-05	5.20E-06	-7.41E-06	-1.37E-05
1	10	0	0	0	0	0	0	232	254	0	-2.35E-05	5.20E-06	-8.47E-06	-1.44E-05
1	11	0	0	0	0	0	0	232	254	0	-2.35E-05	5.20E-06	-8.47E-06	-1.44E-05
1	12	0	0	0	0	0	0	232	254	0	-2.43E-05	5.14E-06	-9.82E-06	-1.48E-05
1	13	0	0	0	0	0	0	232	254	0	-2.43E-05	5.14E-06	-9.82E-06	-1.48E-05
1	14	0	0	0	0	0	0	232	254	0	-2.42E-05	4.87E-06	-1.08E-05	-1.35E-05
1	15	0	0	0	0	0	0	232	254	0	-2.42E-05	4.87E-06	-1.08E-05	-1.35E-05
1	16	0	0	0	0	0	0	232	254	0	-2.33E-05	4.77E-06	-1.03E-05	-1.29E-05
1	17	0	0	0	0	0	0	232	254	0	-2.33E-05	4.77E-06	-1.03E-05	-1.29E-05
1	18	0	0	0	0	0	0	232	254	0	-2.31E-05	4.65E-06	-1.04E-05	-1.20E-05
1	19	0	0	0	0	0	0	232	254	0	-2.27E-05	5.50E-06	-9.69E-06	-1.05E-05
2	0	0	0	0	0	0	0	232	254	0	-2.27E-05	5.50E-06	-9.69E-06	-1.05E-05
2	1	0	0	0	0	0	0	232	254	0	-2.27E-05	3.83E-06	-1.01E-05	-9.69E-06
2	2	0	0	0	0	0	0	232	254	0	-2.27E-05	3.83E-06	-1.01E-05	-9.69E-06
2	3	0	0	0	0	0	0	232	254	0	-2.28E-05	3.82E-06	-9.04E-06	-1.01E-05
2	4	0	0	0	0	0	0	232	254	0	-2.28E-05	3.82E-06	-9.04E-06	-1.01E-05
2	5	0	0	0	0	0	0	232	254	0	-2.17E-05	4.52E-06	-8.16E-06	-9.63E-06
2	6	0	0	0	0	0	0	232	254	0	-2.17E-05	4.52E-06	-8.16E-06	-9.63E-06
2	7	0	0	0	0	0	0	232	254	0	-2.07E-05	4.95E-06	-7.95E-06	-1.00E-05
2	8	0	0	0	0	0	0	232	254	0	-2.17E-05	3.86E-06	-8.48E-06	-1.03E-05
2	9	0	0	0	0	0	0	232	254	0	-2.17E-05	3.86E-06	-8.48E-06	-1.03E-05
2	10	0	0	0	0	0	0	232	254	0	-2.13E-05	4.02E-06	-9.66E-06	-1.00E-05
2	11	0	0	0	0	0	0	232	254	0	-2.13E-05	4.02E-06	-9.66E-06	-1.00E-05
2	12	0	0	0	0	0	0	232	254	0	-1.98E-05	4.67E-06	-9.82E-06	-1.04E-05
2	13	0	0	0	0	0	0	232	254	0	-1.98E-05	4.67E-06	-9.82E-06	-1.04E-05
2	14	0	0	0	0	0	0	232	254	0	-1.95E-05	4.53E-06	-8.76E-06	-9.45E-06
2	15	0	0	0	0	0	0	232	254	0	-1.95E-05	4.53E-06	-8.76E-06	-9.45E-06
2	16	0	0	0	0	0	0	232	254	0	-2.03E-05	4.59E-06	-9.05E-06	-8.41E-06
2	17	0	0	0	0	0	0	232	254	0	-2.01E-05	5.06E-06	-9.74E-06	-9.54E-06
2	18	0	0	0	0	0	0	232	254	0	-2.01E-05	5.06E-06	-9.74E-06	-9.54E-06
2	19	0	0	0	0	0	0	232	254	0	-1.96E-05	5.66E-06	-9.83E-06	-1.12E-05
3	0	0	0	0	0	0	0	232	254	0	-1.96E-05	5.66E-06	-9.83E-06	-1.12E-05
3	1	0	0	0	0	0	0	232	254	0	-2.14E-05	4.32E-06	-1.04E-05	-1.27E-05
3	2	0	0	0	0	0	0	232	254	0	-2.14E-05	4.32E-06	-1.04E-05	-1.27E-05
3	3	0	0	0	0	0	0	232	254	0	-2.23E-05	2.53E-06	-1.11E-05	-1.30E-05
3	4	0	0	0	0	0	0	232	254	0	-2.23E-05	2.53E-06	-1.11E-05	-1.30E-05
3	5	0	0	0	0	0	0	232	254	0	-2.19E-05	2.10E-06	-1.02E-05	-1.35E-05
3	6	0	0	0	0	0	0	232	254	0	-2.14E-05	3.38E-06	-8.50E-06	-1.33E-05
3	7	0	0	0	0	0	0	232	254	0	-2.14E-05	3.38E-06	-8.50E-06	-1.33E-05
3	8	0	0	0	0	0	0	232	254	0	-2.11E-05	4.07E-06	-8.32E-06	-1.46E-05
3	9	0	0	0	0	0	0	232	254	0	-2.11E-05	4.07E-06	-8.32E-06	-1.46E-05
3	10	0	0	0	0	0	0	232	254	0	-2.06E-05	3.81E-06	-8.98E-06	-1.52E-05
3	11	0	0	0	0	0	0	232	254	0	-2.06E-05	3.81E-06	-8.98E-06	-1.52E-05
3	12	0	0	0	0	0	0	232	254	0	-2.02E-05	4.82E-06	-9.98E-06	-1.14E-05
3	13	0	0	0	0	0	0	232	254	0	-2.02E-05	4.82E-06	-9.98E-06	-1.14E-05
3	14	0	0	0	0	0	0	232	254	0	-1.99E-05	4.05E-06	-9.66E-06	-9.02E-06
3	15	0	0	0	0	0	0	232	254	0	-1.99E-05	4.62E-06	-1.02E-05	-1.01E-05
3	16	0	0	0	0	0	0	232	254	0	-1.99E-05	4.62E-06	-1.02E-05	-1.01E-05
3	17	0	0	0	0	0	0	232	254	0	-2.04E-05	3.62E-06	-1.04E-05	-1.30E-05
3	18	0	0	0	0	0	0	232	254	0	-2.04E-05	3.62E-06	-1.04E-05	-1.30E-05
3	19	0	0	0	0	0	0	232	254	0	-2.07E-05	4.50E-06	-9.72E-06	-1.64E-05
4	0	0	0	0	0	0	0	232	254	0	-2.07E-05	4.50E-06	-9.72E-06	-1.64E-05
4	1	0	0	0	0	0	0	232	254	0	-2.14E-05	6.42E-06	-8.68E-06	-1.99E-05
4	2	0	0	0	0	0	0	232	254	0	-2.14E-05	6.42E-06	-8.68E-06	-1.99E-05
4	3	0	0	0	0	0	0	232	254	0	-2.22E-05	5.75E-06	-7.50E-06	-1.99E-05
4	4	0	0	0	0	0	0	232	254	0	-2.15E-05	5.42E-06	-6.73E-06	-1.81E-05
4	5	0	0	0	0	0	0	232	254	0	-2.15E-05	5.42E-06	-6.73E-06	-1.81E-05
4	6	0	0	0	0	0	0	232	254	0	-2.10E-05	6.13E-06	-7.84E-06	-1.86E-05
4	7	0	0	0	0	0	0	232	254	0	-2.10E-05	6.13E-06	-7.84E-06	-1.86E-05
4	8	0	0	0	0	0	0	232	254	0	-2.09E-05	5.00E-06	-9.06E-06	-1.67E-05
