Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.31E-05	3.74E-06	-5.26E-06	-1.09E-05
1	1	0	0	0	0	0	0	232	254	0	-2.31E-05	3.74E-06	-5.26E-06	-1.09E-05
1	2	0	0	0	0	0	0	232	254	0	-2.13E-05	3.64E-06	-3.05E-06	-9.88E-06
1	3	0	0	0	0	0	0	232	254	0	-2.13E-05	3.64E-06	-3.05E-06	-9.88E-06
1	4	0	0	0	0	0	0	232	254	0	-1.99E-05	4.22E-06	-3.37E-06	-9.71E-06
1	5	0	0	0	0	0	0	232	254	0	-1.99E-05	4.22E-06	-3.37E-06	-9.71E-06
1	6	0	0	0	0	0	0	232	254	0	-1.92E-05	4.75E-06	-7.21E-06	-1.10E-05
1	7	0	0	0	0	0	0	232	254	0	-1.92E-05	4.75E-06	-7.21E-06	-1.10E-05
1	8	0	0	0	0	0	0	232	254	0	-1.85E-05	5.19E-06	-1.06E-05	-1.20E-05
1	9	0	0	0	0	0	0	232	254	0	-1.90E-05	5.96E-06	-1.07E-05	-1.25E-05
1	10	0	0	0	0	0	0	232	254	0	-1.90E-05	5.96E-06	-1.07E-05	-1.25E-05
1	11	0	0	0	0	0	0	232	254	0	-1.94E-05	4.13E-06	-9.33E-06	-1.23E-05
1	12	0	0	0	0	0	0	232	254	0	-1.94E-05	4.13E-06	-9.33E-06	-1.23E-05
1	13	0	0	0	0	0	0	232	254	0	-1.93E-05	2.30E-06	-8.84E-06	-1.23E-05
1	14	0	0	0	0	0	0	232	254	0	-1.93E-05	2.30E-06	-8.84E-06	-1.23E-05
1	15	0	0	0	0	0	0	232	254	0	-2.06E-05	2.52E-06	-8.85E-06	-1.21E-05
1	16	0	0	0	0	0	0	232	254	0	-2.06E-05	2.52E-06	-8.85E-06	-1.21E-05
1	17	0	0	0	0	0	0	232	254	0	-2.21E-05	2.99E-06	-9.24E-06	-1.16E-05
1	18	0	0	0	0	0	0	232	254	0	-2.21E-05	4.52E-06	-9.57E-06	-1.15E-05
1	19	0	0	0	0	0	0	232	254	0	-2.21E-05	4.52E-06	-9.57E-06	-1.15E-05
2	0	0	0	0	0	0	0	232	254	0	-2.20E-05	5.41E-06	-9.51E-06	-1.14E-05
2	1	0	0	0	0	0	0	232	254	0	-2.20E-05	5.41E-06	-9.51E-06	-1.14E-05
2	2	0	0	0	0	0	0	232	254	0	-2.24E-05	4.87E-06	-9.46E-06	-1.11E-05
2	3	0	0	0	0	0	0	232	254	0	-2.24E-05	4.87E-06	-9.46E-06	-1.11E-05
2	4	0	0	0	0	0	0	232	254	0	-2.14E-05	4.99E-06	-1.00E-05	-1.07E-05
2	5	0	0	0	0	0	0	232	254	0	-2.14E-05	4.99E-06	-1.00E-05	-1.07E-05
2	6	0	0	0	0	0	0	232	254	0	-2.03E-05	4.85E-06	-1.07E-05	-1.05E-05
2	7	0	0	0	0	0	0	232	254	0	-2.06E-05	4.55E-06	-9.82E-06	-1.14E-05
2	8	0	0	0	0	0	0	232	254	0	-2.06E-05	4.55E-06	-9.82E-06	-1.14E-05
2	9	0	0	0	0	0	0	232	254	0	-2.11E-05	4.97E-06	-8.53E-06	-1.24E-05
2	10	0	0	0	0	0	0	232	254	0	-2.11E-05	4.97E-06	-8.53E-06	-1.24E-05
2	11	0	0	0	0	0	0	232	254	0	-2.10E-05	4.41E-06	-7.43E-06	-1.25E-05
2	12	0	0	0	0	0	0	232	254	0	-2.10E-05	4.41E-06	-7.43E-06	-1.25E-05
2	13	0	0	0	0	0	0	232	254	0	-2.15E-05	4.32E-06	-7.46E-06	-1.20E-05
