Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.00E-05	4.09E-06	-8.05E-06	-1.19E-05
1	1	0	0	0	0	0	0	232	254	0	-2.00E-05	4.09E-06	-8.05E-06	-1.19E-05
1	2	0	0	0	0	0	0	232	254	0	-1.78E-05	4.29E-06	-9.42E-06	-1.11E-05
1	3	0	0	0	0	0	0	232	254	0	-1.78E-05	4.29E-06	-9.42E-06	-1.11E-05
1	4	0	0	0	0	0	0	232	254	0	-1.80E-05	4.61E-06	-1.14E-05	-1.33E-05
1	5	0	0	0	0	0	0	232	254	0	-1.80E-05	4.61E-06	-1.14E-05	-1.33E-05
1	6	0	0	0	0	0	0	232	254	0	-2.07E-05	3.30E-06	-1.12E-05	-1.57E-05
1	7	0	0	0	0	0	0	232	254	0	-2.20E-05	3.62E-06	-1.17E-05	-1.62E-05
1	8	0	0	0	0	0	0	232	254	0	-2.20E-05	3.62E-06	-1.17E-05	-1.62E-05
1	9	0	0	0	0	0	0	232	254	0	-2.27E-05	4.80E-06	-1.26E-05	-1.77E-05
1	10	0	0	0	0	0	0	232	254	0	-2.27E-05	4.80E-06	-1.26E-05	-1.77E-05
1	11	0	0	0	0	0	0	232	254	0	-2.19E-05	5.96E-06	-1.47E-05	-1.78E-05
1	12	0	0	0	0	0	0	232	254	0	-2.19E-05	5.96E-06	-1.47E-05	-1.78E-05
1	13	0	0	0	0	0	0	232	254	0	-2.04E-05	6.79E-06	-1.63E-05	-1.39E-05
1	14	0	0	0	0	0	0	232	254	0	-2.04E-05	6.79E-06	-1.63E-05	-1.39E-05
1	15	0	0	0	0	0	0	232	254	0	-2.15E-05	5.01E-06	-1.53E-05	-1.15E-05
1	16	0	0	0	0	0	0	232	254	0	-2.31E-05	3.08E-06	-1.32E-05	-1.20E-05
1	17	0	0	0	0	0	0	232	254	0	-2.31E-05	3.08E-06	-1.32E-05	-1.20E-05
1	18	0	0	0	0	0	0	232	254	0	-2.14E-05	2.85E-06	-1.29E-05	-1.24E-05
1	19	0	0	0	0	0	0	232	254	0	-2.14E-05	2.85E-06	-1.29E-05	-1.24E-05
2	0	0	0	0	0	0	0	232	254	0	-1.84E-05	3.07E-06	-1.28E-05	-9.90E-06
2	1	0	0	0	0	0	0	232	254	0	-1.84E-05	3.07E-06	-1.28E-05	-9.90E-06
2	2	0	0	0	0	0	0	232	254	0	-1.70E-05	4.06E-06	-1.15E-05	-1.13E-05
2	3	0	0	0	0	0	0	232	254	0	-1.70E-05	4.06E-06	-1.15E-05	-1.13E-05
2	4	0	0	0	0	0	0	232	254	0	-1.68E-05	4.93E-06	-8.02E-06	-1.49E-05
2	5	0	0	0	0	0	0	232	254	0	-1.60E-05	3.77E-06	-7.21E-06	-1.58E-05
2	6	0	0	0	0	0	0	232	254	0	-1.60E-05	3.77E-06	-7.21E-06	-1.58E-05
2	7	0	0	0	0	0	0	232	254	0	-1.55E-05	2.52E-06	-8.21E-06	-1.43E-05
2	8	0	0	0	0	0	0	232	254	0	-1.55E-05	2.52E-06	-8.21E-06	-1.43E-05
2	9	0	0	0	0	0	0	232	254	0	-1.86E-05	1.76E-06	-9.11E-06	-1.26E-05
2	10	0	0	0	0	0	0	232	254	0	-1.86E-05	1.76E-06	-9.11E-06	-1.26E-05
2	11	0	0	0	0	0	0	232	254	0	-2.39E-05	-2.64E-07	-9.35E-06	-1.18E-05
2	12	0	0	0	0	0	0	232	254	0	-2.39E-05	-2.64E-07	-9.35E-06	-1.18E-05
2	13	0	0	0	0	0	0	232	254	0	-2.73E-05	-1.44E-06	-9.11E-06	-1.23E-05
2	14	0	0	0	0	0	0	232	254	0	-2.62E-05	-2.50E-06	-9.78E-06	-1.31E-05
2	15	0	0	0	0	0	0	232	254	0	-2.62E-05	-2.50E-06	-9.78E-06	-1.31E-05
2	16	0	0	0	0	0	0	232	254	0	-2.42E-05	-2.66E-06	-9.91E-06	-1.47E-05
2	17	0	0	0	0	0	0	232	254	0	-2.42E-05	-2.66E-06	-9.91E-06	-1.47E-05
2	18	0	0	0	0	0	0	232	254	0	-2.26E-05	-5.69E-07	-8.69E-06	-1.38E-05
2	19	0	0	0	0	0	0	232	254	0	-2.26E-05	-5.69E-07	-8.69E-06	-1.38E-05
3	0	0	0	0	0	0	0	232	254	0	-1.93E-05	1.62E-07	-7.88E-06	-1.34E-05
3	1	0	0	0	0	0	0	232	254	0	-1.93E-05	1.62E-07	-7.88E-06	-1.34E-05
3	2	0	0	0	0	0	0	232	254	0	-1.71E-05	-1.44E-07	-8.24E-06	-1.35E-05
3	3	0	0	0	0	0	0	232	254	0	-1.65E-05	-1.94E-06	-7.01E-06	-1.17E-05
3	4	0	0	0	0	0	0	232	254	0	-1.65E-05	-1.94E-06	-7.01E-06	-1.17E-05
