Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.03E-05	2.16E-06	-6.48E-06	-1.86E-05
1	1	0	0	0	0	0	0	232	254	0	-2.17E-05	7.68E-07	-6.27E-06	-1.63E-05
1	2	0	0	0	0	0	0	232	254	0	-2.17E-05	7.68E-07	-6.27E-06	-1.63E-05
1	3	0	0	0	0	0	0	232	254	0	-2.17E-05	1.24E-06	-6.74E-06	-1.21E-05
1	4	0	0	0	0	0	0	232	254	0	-2.19E-05	1.51E-06	-8.20E-06	-1.25E-05
1	5	0	0	0	0	0	0	232	254	0	-2.19E-05	1.51E-06	-8.20E-06	-1.25E-05
1	6	0	0	0	0	0	0	232	254	0	-2.14E-05	1.77E-06	-1.12E-05	-1.82E-05
1	7	0	0	0	0	0	0	232	254	0	-2.14E-05	1.77E-06	-1.12E-05	-1.82E-05
1	8	0	0	0	0	0	0	232	254	0	-2.16E-05	2.72E-06	-1.24E-05	-2.77E-05
1	9	0	0	0	0	0	0	232	254	0	-2.16E-05	2.72E-06	-1.24E-05	-2.77E-05
1	10	0	0	0	0	0	0	232	254	0	-2.15E-05	2.60E-06	-1.19E-05	-3.18E-05
1	11	0	0	0	0	0	0	232	254	0	-2.15E-05	2.60E-06	-1.19E-05	-3.18E-05
1	12	0	0	0	0	0	0	232	254	0	-2.20E-05	4.75E-06	-1.22E-05	-2.60E-05
1	13	0	0	0	0	0	0	232	254	0	-2.13E-05	6.80E-06	-9.25E-06	-1.50E-05
1	14	0	0	0	0	0	0	232	254	0	-2.13E-05	6.80E-06	-9.25E-06	-1.50E-05
1	15	0	0	0	0	0	0	232	254	0	-2.18E-05	8.62E-06	-7.02E-06	-2.47E-06
1	16	0	0	0	0	0	0	232	254	0	-2.18E-05	8.62E-06	-7.02E-06	-2.47E-06
1	17	0	0	0	0	0	0	232	254	0	-2.07E-05	9.15E-06	-6.47E-06	4.60E-06
1	18	0	0	0	0	0	0	232	254	0	-2.07E-05	9.15E-06	-6.47E-06	4.60E-06
1	19	0	0	0	0	0	0	232	254	0	-1.99E-05	1.04E-05	-7.75E-06	-4.37E-06
2	0	0	0	0	0	0	0	232	254	0	-1.99E-05	1.04E-05	-7.75E-06	-4.37E-06
2	1	0	0	0	0	0	0	232	254	0	-2.09E-05	1.06E-05	-8.43E-06	-1.25E-05
2	2	0	0	0	0	0	0	232	254	0	-2.05E-05	8.17E-06	-7.70E-06	-6.99E-06
2	3	0	0	0	0	0	0	232	254	0	-2.05E-05	8.17E-06	-7.70E-06	-6.99E-06
