Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.28E-05	4.12E-06	-9.91E-06	-1.80E-05
1	1	0	0	0	0	0	0	232	254	0	-2.28E-05	4.12E-06	-9.91E-06	-1.80E-05
1	2	0	0	0	0	0	0	232	254	0	-2.37E-05	3.94E-06	-8.99E-06	-1.44E-05
1	3	0	0	0	0	0	0	232	254	0	-2.37E-05	3.94E-06	-8.99E-06	-1.44E-05
1	4	0	0	0	0	0	0	232	254	0	-2.43E-05	4.36E-06	-8.48E-06	-1.23E-05
1	5	0	0	0	0	0	0	232	254	0	-2.37E-05	4.20E-06	-8.73E-06	-1.41E-05
1	6	0	0	0	0	0	0	232	254	0	-2.37E-05	4.20E-06	-8.73E-06	-1.41E-05
1	7	0	0	0	0	0	0	232	254	0	-2.25E-05	3.53E-06	-9.06E-06	-1.61E-05
1	8	0	0	0	0	0	0	232	254	0	-2.25E-05	3.53E-06	-9.06E-06	-1.61E-05
1	9	0	0	0	0	0	0	232	254	0	-2.13E-05	3.02E-06	-9.40E-06	-1.45E-05
1	10	0	0	0	0	0	0	232	254	0	-2.13E-05	3.02E-06	-9.40E-06	-1.45E-05
1	11	0	0	0	0	0	0	232	254	0	-2.05E-05	3.02E-06	-9.57E-06	-1.45E-05
1	12	0	0	0	0	0	0	232	254	0	-2.05E-05	3.02E-06	-9.57E-06	-1.45E-05
1	13	0	0	0	0	0	0	232	254	0	-2.15E-05	3.02E-06	-8.91E-06	-1.59E-05
1	14	0	0	0	0	0	0	232	254	0	-2.18E-05	3.52E-06	-8.56E-06	-1.50E-05
1	15	0	0	0	0	0	0	232	254	0	-2.18E-05	3.52E-06	-8.56E-06	-1.50E-05
1	16	0	0	0	0	0	0	232	254	0	-2.02E-05	3.87E-06	-8.65E-06	-1.42E-05
1	17	0	0	0	0	0	0	232	254	0	-2.02E-05	3.87E-06	-8.65E-06	-1.42E-05
1	18	0	0	0	0	0	0	232	254	0	-1.96E-05	2.86E-06	-8.56E-06	-1.55E-05
1	19	0	0	0	0	0	0	232	254	0	-1.96E-05	2.86E-06	-8.56E-06	-1.55E-05
2	0	0	0	0	0	0	0	232	254	0	-1.95E-05	3.34E-06	-9.89E-06	-1.51E-05
2	1	0	0	0	0	0	0	232	254	0	-1.95E-05	3.34E-06	-9.89E-06	-1.51E-05
2	2	0	0	0	0	0	0	232	254	0	-1.82E-05	3.87E-06	-1.01E-05	-1.33E-05
