Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.41E-05	1.52E-06	-1.07E-05	6.59E-06
1	1	0	0	0	0	0	0	232	254	0	-2.36E-05	1.85E-06	-1.19E-05	3.16E-06
1	2	0	0	0	0	0	0	232	254	0	-2.36E-05	1.85E-06	-1.19E-05	3.16E-06
1	3	0	0	0	0	0	0	232	254	0	-2.27E-05	1.67E-06	-1.26E-05	-1.21E-07
1	4	0	0	0	0	0	0	232	254	0	-2.22E-05	1.85E-06	-1.17E-05	-6.47E-07
1	5	0	0	0	0	0	0	232	254	0	-2.22E-05	1.85E-06	-1.17E-05	-6.47E-07
1	6	0	0	0	0	0	0	232	254	0	-2.16E-05	2.70E-06	-1.08E-05	-2.32E-06
1	7	0	0	0	0	0	0	232	254	0	-2.16E-05	2.70E-06	-1.08E-05	-2.32E-06
1	8	0	0	0	0	0	0	232	254	0	-2.12E-05	2.85E-06	-1.01E-05	-8.46E-06
1	9	0	0	0	0	0	0	232	254	0	-2.12E-05	2.85E-06	-1.01E-05	-8.46E-06
1	10	0	0	0	0	0	0	232	254	0	-2.22E-05	3.89E-06	-8.88E-06	-1.35E-05
1	11	0	0	0	0	0	0	232	254	0	-2.22E-05	3.89E-06	-8.88E-06	-1.35E-05
1	12	0	0	0	0	0	0	232	254	0	-2.30E-05	6.15E-06	-7.88E-06	-1.84E-05
1	13	0	0	0	0	0	0	232	254	0	-2.32E-05	6.02E-06	-8.92E-06	-2.44E-05
1	14	0	0	0	0	0	0	232	254	0	-2.32E-05	6.02E-06	-8.92E-06	-2.44E-05
1	15	0	0	0	0	0	0	232	254	0	-2.26E-05	4.78E-06	-1.15E-05	-2.86E-05
1	16	0	0	0	0	0	0	232	254	0	-2.26E-05	4.78E-06	-1.15E-05	-2.86E-05
1	17	0	0	0	0	0	0	232	254	0	-2.08E-05	6.25E-06	-1.27E-05	-3.18E-05
1	18	0	0	0	0	0	0	232	254	0	-2.08E-05	6.25E-06	-1.27E-05	-3.18E-05
1	19	0	0	0	0	0	0	232	254	0	-1.95E-05	8.15E-06	-1.16E-05	-3.48E-05
2	0	0	0	0	0	0	0	232	254	0	-1.95E-05	8.15E-06	-1.16E-05	-3.48E-05
2	1	0	0	0	0	0	0	232	254	0	-2.05E-05	8.14E-06	-1.03E-05	-3.55E-05
2	2	0	0	0	0	0	0	232	254	0	-2.11E-05	8.15E-06	-1.03E-05	-3.61E-05
2	3	0	0	0	0	0	0	232	254	0	-2.11E-05	8.15E-06	-1.03E-05	-3.61E-05
2	4	0	0	0	0	0	0	232	254	0	-1.93E-05	7.11E-06	-9.55E-06	-3.86E-05
2	5	0	0	0	0	0	0	232	254	0	-1.93E-05	7.11E-06	-9.55E-06	-3.86E-05
2	6	0	0	0	0	0	0	232	254	0	-1.80E-05	5.87E-06	-8.47E-06	-4.06E-05
2	7	0	0	0	0	0	0	232	254	0	-1.80E-05	5.87E-06	-8.47E-06	-4.06E-05
2	8	0	0	0	0	0	0	232	254	0	-1.79E-05	5.36E-06	-8.99E-06	-4.13E-05
2	9	0	0	0	0	0	0	232	254	0	-1.79E-05	5.36E-06	-8.99E-06	-4.13E-05
2	10	0	0	0	0	0	0	232	254	0	-1.80E-05	4.10E-06	-9.22E-06	-4.07E-05
2	11	0	0	0	0	0	0	232	254	0	-1.84E-05	3.27E-06	-8.81E-06	-4.12E-05
2	12	0	0	0	0	0	0	232	254	0	-1.84E-05	3.27E-06	-8.81E-06	-4.12E-05
2	13	0	0	0	0	0	0	232	254	0	-1.85E-05	3.36E-06	-9.59E-06	-4.32E-05
2	14	0	0	0	0	0	0	232	254	0	-1.85E-05	3.36E-06	-9.59E-06	-4.32E-05
2	15	0	0	0	0	0	0	232	254	0	-1.85E-05	3.27E-06	-1.01E-05	-4.26E-05
2	16	0	0	0	0	0	0	232	254	0	-1.85E-05	3.27E-06	-1.01E-05	-4.26E-05
2	17	0	0	0	0	0	0	232	254	0	-1.95E-05	3.28E-06	-9.73E-06	-3.84E-05
2	18	0	0	0	0	0	0	232	254	0	-1.95E-05	3.28E-06	-9.73E-06	-3.84E-05
2	19	0	0	0	0	0	0	232	254	0	-2.12E-05	4.98E-06	-8.71E-06	-3.61E-05
3	0	0	0	0	0	0	0	232	254	0	-2.17E-05	6.81E-06	-8.06E-06	-3.70E-05
3	1	0	0	0	0	0	0	232	254	0	-2.17E-05	6.81E-06	-8.06E-06	-3.70E-05
3	2	0	0	0	0	0	0	232	254	0	-2.23E-05	7.39E-06	-7.54E-06	-3.55E-05
3	3	0	0	0	0	0	0	232	254	0	-2.23E-05	7.39E-06	-7.54E-06	-3.55E-05
3	4	0	0	0	0	0	0	232	254	0	-2.18E-05	6.70E-06	-6.71E-06	-3.31E-05
3	5	0	0	0	0	0	0	232	254	0	-2.18E-05	6.70E-06	-6.71E-06	-3.31E-05
3	6	0	0	0	0	0	0	232	254	0	-2.01E-05	5.70E-06	-7.57E-06	-3.21E-05
3	7	0	0	0	0	0	0	232	254	0	-2.01E-05	5.70E-06	-7.57E-06	-3.21E-05
3	8	0	0	0	0	0	0	232	254	0	-1.98E-05	4.94E-06	-8.82E-06	-3.12E-05
3	9	0	0	0	0	0	0	232	254	0	-2.03E-05	3.76E-06	-8.64E-06	-2.88E-05
3	10	0	0	0	0	0	0	232	254	0	-2.03E-05	3.76E-06	-8.64E-06	-2.88E-05
