Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.36E-05	7.46E-06	-1.11E-05	-4.31E-05
1	1	0	0	0	0	0	0	232	254	0	-2.36E-05	7.46E-06	-1.11E-05	-4.31E-05
1	2	0	0	0	0	0	0	232	254	0	-2.17E-05	7.88E-06	-8.46E-06	-3.07E-05
1	3	0	0	0	0	0	0	232	254	0	-2.17E-05	7.88E-06	-8.46E-06	-3.07E-05
1	4	0	0	0	0	0	0	232	254	0	-2.12E-05	7.40E-06	-7.25E-06	-3.07E-06
1	5	0	0	0	0	0	0	232	254	0	-2.12E-05	7.40E-06	-7.25E-06	-3.07E-06
1	6	0	0	0	0	0	0	232	254	0	-2.07E-05	6.24E-06	-7.71E-06	2.33E-05
1	7	0	0	0	0	0	0	232	254	0	-2.07E-05	6.24E-06	-7.71E-06	2.33E-05
1	8	0	0	0	0	0	0	232	254	0	-2.00E-05	5.72E-06	-7.88E-06	2.33E-05
1	9	0	0	0	0	0	0	232	254	0	-1.65E-05	7.67E-06	-7.89E-06	6.33E-06
1	10	0	0	0	0	0	0	232	254	0	-1.65E-05	7.67E-06	-7.89E-06	6.33E-06
1	11	0	0	0	0	0	0	232	254	0	-1.81E-05	7.88E-06	-9.85E-06	-5.90E-06
1	12	0	0	0	0	0	0	232	254	0	-1.81E-05	7.88E-06	-9.85E-06	-5.90E-06
1	13	0	0	0	0	0	0	232	254	0	-2.29E-05	6.91E-06	-8.10E-06	-8.50E-06
1	14	0	0	0	0	0	0	232	254	0	-2.29E-05	6.91E-06	-8.10E-06	-8.50E-06
1	15	0	0	0	0	0	0	232	254	0	-2.63E-05	7.70E-06	-5.28E-06	-7.91E-06
1	16	0	0	0	0	0	0	232	254	0	-2.63E-05	7.70E-06	-5.28E-06	-7.91E-06
1	17	0	0	0	0	0	0	232	254	0	-2.67E-05	6.58E-06	-6.84E-06	-1.12E-05
1	18	0	0	0	0	0	0	232	254	0	-2.33E-05	4.91E-06	-5.90E-06	-1.44E-05
1	19	0	0	0	0	0	0	232	254	0	-2.33E-05	4.91E-06	-5.90E-06	-1.44E-05
2	0	0	0	0	0	0	0	232	254	0	-2.40E-05	5.36E-06	-7.84E-06	-1.62E-05
2	1	0	0	0	0	0	0	232	254	0	-2.40E-05	5.36E-06	-7.84E-06	-1.62E-05
2	2	0	0	0	0	0	0	232	254	0	-2.56E-05	6.35E-06	-9.20E-06	-1.60E-05
2	3	0	0	0	0	0	0	232	254	0	-2.56E-05	6.35E-06	-9.20E-06	-1.60E-05
2	4	0	0	0	0	0	0	232	254	0	-2.32E-05	5.56E-06	-1.09E-05	-1.66E-05
2	5	0	0	0	0	0	0	232	254	0	-2.32E-05	5.56E-06	-1.09E-05	-1.66E-05
2	6	0	0	0	0	0	0	232	254	0	-2.10E-05	6.52E-06	-7.97E-06	-1.79E-05
2	7	0	0	0	0	0	0	232	254	0	-2.13E-05	2.78E-06	-7.40E-06	-1.80E-05
2	8	0	0	0	0	0	0	232	254	0	-2.13E-05	2.78E-06	-7.40E-06	-1.80E-05
2	9	0	0	0	0	0	0	232	254	0	-2.00E-05	3.83E-06	-9.18E-06	-1.78E-05
2	10	0	0	0	0	0	0	232	254	0	-2.00E-05	3.83E-06	-9.18E-06	-1.78E-05
2	11	0	0	0	0	0	0	232	254	0	-1.87E-05	5.66E-06	-8.58E-06	-1.71E-05
2	12	0	0	0	0	0	0	232	254	0	-1.87E-05	5.66E-06	-8.58E-06	-1.71E-05
2	13	0	0	0	0	0	0	232	254	0	-2.09E-05	6.20E-06	-8.89E-06	-1.76E-05
2	14	0	0	0	0	0	0	232	254	0	-2.09E-05	6.20E-06	-8.89E-06	-1.76E-05
2	15	0	0	0	0	0	0	232	254	0	-2.13E-05	3.92E-06	-7.59E-06	-1.80E-05
2	16	0	0	0	0	0	0	232	254	0	-1.87E-05	-1.70E-06	-5.59E-06	-1.76E-05
2	17	0	0	0	0	0	0	232	254	0	-1.87E-05	-1.70E-06	-5.59E-06	-1.76E-05
2	18	0	0	0	0	0	0	232	254	0	-1.73E-05	-2.99E-06	-8.16E-06	-1.65E-05
2	19	0	0	0	0	0	0	232	254	0	-1.73E-05	-2.99E-06	-8.16E-06	-1.65E-05
3	0	0	0	0	0	0	0	232	254	0	-1.60E-05	-1.22E-06	-1.08E-05	-1.76E-05
3	1	0	0	0	0	0	0	232	254	0	-1.60E-05	-1.22E-06	-1.08E-05	-1.76E-05
3	2	0	0	0	0	0	0	232	254	0	-1.37E-05	-1.01E-06	-1.11E-05	-1.60E-05
3	3	0	0	0	0	0	0	232	254	0	-1.37E-05	-1.01E-06	-1.11E-05	-1.60E-05
3	4	0	0	0	0	0	0	232	254	0	-1.26E-05	-1.50E-06	-9.61E-06	-1.63E-05
3	5	0	0	0	0	0	0	232	254	0	-1.64E-05	-5.29E-07	-1.25E-05	-1.63E-05
3	6	0	0	0	0	0	0	232	254	0	-1.64E-05	-5.29E-07	-1.25E-05	-1.63E-05
3	7	0	0	0	0	0	0	232	254	0	-1.92E-05	-1.16E-06	-1.23E-05	-1.01E-05
3	8	0	0	0	0	0	0	232	254	0	-1.92E-05	-1.16E-06	-1.23E-05	-1.01E-05
3	9	0	0	0	0	0	0	232	254	0	-1.85E-05	-3.57E-07	-1.09E-05	-7.61E-06
3	10	0	0	0	0	0	0	232	254	0	-1.85E-05	-3.57E-07	-1.09E-05	-7.61E-06
3	11	0	0	0	0	0	0	232	254	0	-1.98E-05	1.95E-06	-8.95E-06	-9.84E-06
3	12	0	0	0	0	0	0	232	254	0	-1.98E-05	1.95E-06	-8.95E-06	-9.84E-06
3	13	0	0	0	0	0	0	232	254	0	-2.13E-05	3.81E-06	-8.57E-06	-1.42E-05
3	14	0	0	0	0	0	0	232	254	0	-2.30E-05	2.23E-06	-9.54E-06	-1.95E-05
3	15	0	0	0	0	0	0	232	254	0	-2.30E-05	2.23E-06	-9.54E-06	-1.95E-05
3	16	0	0	0	0	0	0	232	254	0	-2.36E-05	3.82E-06	-1.22E-05	-2.16E-05
3	17	0	0	0	0	0	0	232	254	0	-2.36E-05	3.82E-06	-1.22E-05	-2.16E-05
3	18	0	0	0	0	0	0	232	254	0	-2.50E-05	8.11E-06	-1.09E-05	-1.81E-05
3	19	0	0	0	0	0	0	232	254	0	-2.50E-05	8.11E-06	-1.09E-05	-1.81E-05
4	0	0	0	0	0	0	0	232	254	0	-2.60E-05	9.70E-06	-9.27E-06	-1.47E-05
4	1	0	0	0	0	0	0	232	254	0	-2.60E-05	9.70E-06	-9.27E-06	-1.47E-05
4	2	0	0	0	0	0	0	232	254	0	-2.50E-05	1.10E-05	-9.56E-06	-1.61E-05
4	3	0	0	0	0	0	0	232	254	0	-2.24E-05	1.08E-05	-9.89E-06	-1.69E-05
4	4	0	0	0	0	0	0	232	254	0	-2.24E-05	1.08E-05	-9.89E-06	-1.69E-05
4	5	0	0	0	0	0	0	232	254	0	-2.28E-05	1.17E-05	-6.30E-06	-1.47E-05
4	6	0	0	0	0	0	0	232	254	0	-2.28E-05	1.17E-05	-6.30E-06	-1.47E-05
4	7	0	0	0	0	0	0	232	254	0	-2.22E-05	9.79E-06	-6.21E-06	-9.04E-06
4	8	0	0	0	0	0	0	232	254	0	-2.22E-05	9.79E-06	-6.21E-06	-9.04E-06
4	9	0	0	0	0	0	0	232	254	0	-2.18E-05	6.95E-06	-9.48E-06	-2.35E-06
4	10	0	0	0	0	0	0	232	254	0	-2.18E-05	6.95E-06	-9.48E-06	-2.35E-06
4	11	0	0	0	0	0	0	232	254	0	-2.03E-05	4.10E-06	-1.09E-05	-6.76E-06
4	12	0	0	0	0	0	0	232	254	0	-2.10E-05	5.50E-06	-1.03E-05	-1.62E-05
4	13	0	0	0	0	0	0	232	254	0	-2.10E-05	5.50E-06	-1.03E-05	-1.62E-05
4	14	0	0	0	0	0	0	232	254	0	-2.18E-05	4.88E-06	-8.93E-06	-2.54E-05
4	15	0	0	0	0	0	0	232	254	0	-2.18E-05	4.88E-06	-8.93E-06	-2.54E-05
