Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-1.85E-05	5.56E-06	-6.82E-06	-8.34E-06
1	1	0	0	0	0	0	0	232	254	0	-1.85E-05	5.56E-06	-6.82E-06	-8.34E-06
1	2	0	0	0	0	0	0	232	254	0	-1.70E-05	5.93E-06	-8.68E-06	-1.05E-05
1	3	0	0	0	0	0	0	232	254	0	-1.70E-05	5.93E-06	-8.68E-06	-1.05E-05
1	4	0	0	0	0	0	0	232	254	0	-1.86E-05	6.73E-06	-1.06E-05	-1.44E-05
1	5	0	0	0	0	0	0	232	254	0	-1.86E-05	6.73E-06	-1.06E-05	-1.44E-05
1	6	0	0	0	0	0	0	232	254	0	-2.02E-05	4.29E-06	-1.11E-05	-1.15E-05
1	7	0	0	0	0	0	0	232	254	0	-2.02E-05	4.29E-06	-1.11E-05	-1.15E-05
1	8	0	0	0	0	0	0	232	254	0	-1.87E-05	3.25E-06	-1.07E-05	-1.03E-05
1	9	0	0	0	0	0	0	232	254	0	-2.08E-05	4.22E-06	-1.02E-05	-1.11E-05
1	10	0	0	0	0	0	0	232	254	0	-2.08E-05	4.22E-06	-1.02E-05	-1.11E-05
1	11	0	0	0	0	0	0	232	254	0	-2.31E-05	4.63E-06	-9.88E-06	-1.51E-05
1	12	0	0	0	0	0	0	232	254	0	-2.31E-05	4.63E-06	-9.88E-06	-1.51E-05
1	13	0	0	0	0	0	0	232	254	0	-2.44E-05	6.25E-06	-9.57E-06	-2.27E-05
1	14	0	0	0	0	0	0	232	254	0	-2.44E-05	6.25E-06	-9.57E-06	-2.27E-05
1	15	0	0	0	0	0	0	232	254	0	-2.46E-05	6.80E-06	-9.67E-06	-2.37E-05
1	16	0	0	0	0	0	0	232	254	0	-2.46E-05	6.80E-06	-9.67E-06	-2.37E-05
1	17	0	0	0	0	0	0	232	254	0	-2.37E-05	5.60E-06	-1.13E-05	-1.89E-05
1	18	0	0	0	0	0	0	232	254	0	-2.36E-05	6.66E-06	-1.23E-05	-1.75E-05
1	19	0	0	0	0	0	0	232	254	0	-2.36E-05	6.66E-06	-1.23E-05	-1.75E-05
2	0	0	0	0	0	0	0	232	254	0	-2.28E-05	8.60E-06	-1.25E-05	-1.51E-05
2	1	0	0	0	0	0	0	232	254	0	-2.28E-05	8.60E-06	-1.25E-05	-1.51E-05
2	2	0	0	0	0	0	0	232	254	0	-2.03E-05	9.23E-06	-1.43E-05	-1.18E-05
2	3	0	0	0	0	0	0	232	254	0	-2.03E-05	9.23E-06	-1.43E-05	-1.18E-05
2	4	0	0	0	0	0	0	232	254	0	-2.03E-05	9.21E-06	-1.48E-05	-4.71E-06
2	5	0	0	0	0	0	0	232	254	0	-2.03E-05	9.21E-06	-1.48E-05	-4.71E-06
2	6	0	0	0	0	0	0	232	254	0	-2.09E-05	8.84E-06	-1.19E-05	-2.42E-06
2	7	0	0	0	0	0	0	232	254	0	-2.03E-05	7.57E-06	-1.10E-05	-6.59E-06
2	8	0	0	0	0	0	0	232	254	0	-2.03E-05	7.57E-06	-1.10E-05	-6.59E-06
2	9	0	0	0	0	0	0	232	254	0	-2.11E-05	2.49E-06	-1.28E-05	-1.35E-05
2	10	0	0	0	0	0	0	232	254	0	-2.11E-05	2.49E-06	-1.28E-05	-1.35E-05
2	11	0	0	0	0	0	0	232	254	0	-2.23E-05	1.96E-06	-1.11E-05	-2.85E-05
2	12	0	0	0	0	0	0	232	254	0	-2.23E-05	1.96E-06	-1.11E-05	-2.85E-05
2	13	0	0	0	0	0	0	232	254	0	-2.12E-05	1.12E-06	-9.38E-06	-2.53E-05
2	14	0	0	0	0	0	0	232	254	0	-2.12E-05	1.12E-06	-9.38E-06	-2.53E-05
2	15	0	0	0	0	0	0	232	254	0	-2.14E-05	2.57E-07	-6.45E-06	-1.37E-05
2	16	0	0	0	0	0	0	232	254	0	-2.24E-05	1.65E-06	-7.71E-06	-1.23E-05
2	17	0	0	0	0	0	0	232	254	0	-2.24E-05	1.65E-06	-7.71E-06	-1.23E-05
2	18	0	0	0	0	0	0	232	254	0	-2.07E-05	1.24E-06	-1.02E-05	-1.37E-05
2	19	0	0	0	0	0	0	232	254	0	-2.07E-05	1.24E-06	-1.02E-05	-1.37E-05
3	0	0	0	0	0	0	0	232	254	0	-2.11E-05	2.42E-06	-9.39E-06	-1.25E-05
3	1	0	0	0	0	0	0	232	254	0	-2.11E-05	2.42E-06	-9.39E-06	-1.25E-05
3	2	0	0	0	0	0	0	232	254	0	-2.07E-05	3.56E-06	-6.53E-06	-1.63E-05
3	3	0	0	0	0	0	0	232	254	0	-2.07E-05	3.56E-06	-6.53E-06	-1.63E-05
3	4	0	0	0	0	0	0	232	254	0	-2.17E-05	4.12E-06	-6.14E-06	-1.58E-05
3	5	0	0	0	0	0	0	232	254	0	-2.26E-05	2.79E-06	-5.01E-06	-1.40E-05
3	6	0	0	0	0	0	0	232	254	0	-2.26E-05	2.79E-06	-5.01E-06	-1.40E-05
3	7	0	0	0	0	0	0	232	254	0	-2.23E-05	1.95E-06	-4.63E-06	-9.37E-06
3	8	0	0	0	0	0	0	232	254	0	-2.23E-05	1.95E-06	-4.63E-06	-9.37E-06
3	9	0	0	0	0	0	0	232	254	0	-2.15E-05	3.41E-06	-6.33E-06	-1.21E-05
3	10	0	0	0	0	0	0	232	254	0	-2.15E-05	3.41E-06	-6.33E-06	-1.21E-05
3	11	0	0	0	0	0	0	232	254	0	-1.97E-05	1.50E-06	-8.34E-06	-1.98E-05
3	12	0	0	0	0	0	0	232	254	0	-1.97E-05	1.50E-06	-8.34E-06	-1.98E-05
3	13	0	0	0	0	0	0	232	254	0	-2.08E-05	1.39E-06	-1.02E-05	-1.87E-05
3	14	0	0	0	0	0	0	232	254	0	-2.12E-05	2.28E-06	-9.39E-06	-1.46E-05
3	15	0	0	0	0	0	0	232	254	0	-2.12E-05	2.28E-06	-9.39E-06	-1.46E-05
3	16	0	0	0	0	0	0	232	254	0	-1.99E-05	3.94E-06	-6.57E-06	-1.90E-05
3	17	0	0	0	0	0	0	232	254	0	-1.99E-05	3.94E-06	-6.57E-06	-1.90E-05
3	18	0	0	0	0	0	0	232	254	0	-1.93E-05	5.23E-06	-6.86E-06	-8.49E-06
3	19	0	0	0	0	0	0	232	254	0	-1.93E-05	5.23E-06	-6.86E-06	-8.49E-06
4	0	0	0	0	0	0	0	232	254	0	-1.89E-05	5.72E-06	-6.64E-06	8.23E-06
4	1	0	0	0	0	0	0	232	254	0	-1.89E-05	5.72E-06	-6.64E-06	8.23E-06
4	2	0	0	0	0	0	0	232	254	0	-1.83E-05	5.83E-06	-8.16E-06	2.67E-07
4	3	0	0	0	0	0	0	232	254	0	-1.85E-05	5.05E-06	-7.02E-06	-6.22E-07
4	4	0	0	0	0	0	0	232	254	0	-1.85E-05	5.05E-06	-7.02E-06	-6.22E-07
4	5	0	0	0	0	0	0	232	254	0	-1.96E-05	5.14E-06	-6.58E-06	2.42E-06
4	6	0	0	0	0	0	0	232	254	0	-1.96E-05	5.14E-06	-6.58E-06	2.42E-06
4	7	0	0	0	0	0	0	232	254	0	-1.87E-05	4.30E-06	-7.09E-06	-4.67E-06
4	8	0	0	0	0	0	0	232	254	0	-1.87E-05	4.30E-06	-7.09E-06	-4.67E-06
4	9	0	0	0	0	0	0	232	254	0	-2.04E-05	6.18E-06	-7.79E-06	-7.00E-06
4	10	0	0	0	0	0	0	232	254	0	-2.04E-05	6.18E-06	-7.79E-06	-7.00E-06
4	11	0	0	0	0	0	0	232	254	0	-2.11E-05	8.44E-06	-8.82E-06	-8.99E-06
4	12	0	0	0	0	0	0	232	254	0	-2.11E-05	9.21E-06	-7.53E-06	-1.05E-05
4	13	0	0	0	0	0	0	232	254	0	-2.11E-05	9.21E-06	-7.53E-06	-1.05E-05
4	14	0	0	0	0	0	0	232	254	0	-2.21E-05	8.74E-06	-7.28E-06	-1.02E-05
4	15	0	0	0	0	0	0	232	254	0	-2.21E-05	8.74E-06	-7.28E-06	-1.02E-05
4	16	0	0	0	0	0	0	232	254	0	-2.06E-05	6.13E-06	-8.17E-06	-1.53E-05
4	17	0	0	0	0	0	0	232	254	0	-2.06E-05	6.13E-06	-8.17E-06	-1.53E-05
4	18	0	0	0	0	0	0	232	254	0	-2.03E-05	4.89E-06	-7.26E-06	-1.86E-05
4	19	0	0	0	0	0	0	232	254	0	-2.03E-05	4.89E-06	-7.26E-06	-1.86E-05
5	0	0	0	0	0	0	0	232	254	0	-1.99E-05	5.30E-06	-7.79E-06	-2.03E-05
5	1	0	0	0	0	0	0	232	254	0	-2.16E-05	6.78E-06	-6.31E-06	-2.09E-05
5	2	0	0	0	0	0	0	232	254	0	-2.16E-05	6.78E-06	-6.31E-06	-2.09E-05
5	3	0	0	0	0	0	0	232	254	0	-2.13E-05	5.11E-06	-8.09E-06	-1.86E-05
5	4	0	0	0	0	0	0	232	254	0	-2.13E-05	5.11E-06	-8.09E-06	-1.86E-05
