Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.46E-05	-1.17E-06	-9.87E-06	-1.61E-05
1	1	0	0	0	0	0	0	232	254	0	-2.58E-05	-5.63E-07	-1.07E-05	-1.95E-05
1	2	0	0	0	0	0	0	232	254	0	-2.75E-05	2.14E-06	-1.07E-05	-2.21E-05
1	3	0	0	0	0	0	0	232	254	0	-2.75E-05	2.14E-06	-1.07E-05	-2.21E-05
1	4	0	0	0	0	0	0	232	254	0	-2.71E-05	5.65E-06	-1.12E-05	-2.08E-05
1	5	0	0	0	0	0	0	232	254	0	-2.71E-05	5.65E-06	-1.12E-05	-2.08E-05
1	6	0	0	0	0	0	0	232	254	0	-2.61E-05	7.54E-06	-1.14E-05	-1.49E-05
1	7	0	0	0	0	0	0	232	254	0	-2.61E-05	7.54E-06	-1.14E-05	-1.49E-05
1	8	0	0	0	0	0	0	232	254	0	-2.47E-05	5.89E-06	-1.26E-05	-1.00E-05
1	9	0	0	0	0	0	0	232	254	0	-2.47E-05	5.89E-06	-1.26E-05	-1.00E-05
1	10	0	0	0	0	0	0	232	254	0	-2.32E-05	4.16E-06	-1.24E-05	-8.08E-06
1	11	0	0	0	0	0	0	232	254	0	-2.13E-05	4.71E-06	-1.13E-05	-1.03E-05
1	12	0	0	0	0	0	0	232	254	0	-2.13E-05	4.71E-06	-1.13E-05	-1.03E-05
1	13	0	0	0	0	0	0	232	254	0	-2.16E-05	5.12E-06	-1.26E-05	-1.18E-05
1	14	0	0	0	0	0	0	232	254	0	-2.16E-05	5.12E-06	-1.26E-05	-1.18E-05
1	15	0	0	0	0	0	0	232	254	0	-2.15E-05	4.08E-06	-1.39E-05	-8.13E-06
1	16	0	0	0	0	0	0	232	254	0	-2.15E-05	4.08E-06	-1.39E-05	-8.13E-06
1	17	0	0	0	0	0	0	232	254	0	-1.93E-05	1.32E-06	-1.46E-05	-1.44E-06
1	18	0	0	0	0	0	0	232	254	0	-1.93E-05	1.32E-06	-1.46E-05	-1.44E-06
1	19	0	0	0	0	0	0	232	254	0	-1.93E-05	4.88E-07	-1.37E-05	-4.54E-06
2	0	0	0	0	0	0	0	232	254	0	-1.93E-05	2.57E-06	-1.25E-05	-1.09E-05
2	1	0	0	0	0	0	0	232	254	0	-1.93E-05	2.57E-06	-1.25E-05	-1.09E-05
2	2	0	0	0	0	0	0	232	254	0	-1.84E-05	2.75E-06	-1.16E-05	-8.82E-06
2	3	0	0	0	0	0	0	232	254	0	-1.84E-05	2.75E-06	-1.16E-05	-8.82E-06
2	4	0	0	0	0	0	0	232	254	0	-1.86E-05	1.77E-06	-9.04E-06	-6.04E-06
2	5	0	0	0	0	0	0	232	254	0	-1.86E-05	1.77E-06	-9.04E-06	-6.04E-06
2	6	0	0	0	0	0	0	232	254	0	-1.84E-05	2.87E-06	-6.74E-06	-7.46E-06
2	7	0	0	0	0	0	0	232	254	0	-1.84E-05	2.87E-06	-6.74E-06	-7.46E-06
2	8	0	0	0	0	0	0	232	254	0	-1.76E-05	4.65E-06	-5.96E-06	-1.50E-05
2	9	0	0	0	0	0	0	232	254	0	-1.77E-05	6.18E-06	-5.95E-06	-2.04E-05
2	10	0	0	0	0	0	0	232	254	0	-1.77E-05	6.18E-06	-5.95E-06	-2.04E-05
2	11	0	0	0	0	0	0	232	254	0	-1.76E-05	3.32E-06	-5.29E-06	-1.73E-05
2	12	0	0	0	0	0	0	232	254	0	-1.76E-05	3.32E-06	-5.29E-06	-1.73E-05
2	13	0	0	0	0	0	0	232	254	0	-1.68E-05	1.28E-06	-5.01E-06	-1.39E-05
2	14	0	0	0	0	0	0	232	254	0	-1.68E-05	1.28E-06	-5.01E-06	-1.39E-05
2	15	0	0	0	0	0	0	232	254	0	-1.63E-05	3.39E-06	-3.83E-06	-1.70E-05
2	16	0	0	0	0	0	0	232	254	0	-1.63E-05	3.39E-06	-3.83E-06	-1.70E-05
2	17	0	0	0	0	0	0	232	254	0	-1.64E-05	5.83E-06	-4.74E-06	-2.69E-05
2	18	0	0	0	0	0	0	232	254	0	-1.84E-05	5.71E-06	-5.04E-06	-4.15E-05
2	19	0	0	0	0	0	0	232	254	0	-1.84E-05	5.71E-06	-5.04E-06	-4.15E-05
3	0	0	0	0	0	0	0	232	254	0	-2.08E-05	6.10E-06	-6.06E-06	-4.69E-05
3	1	0	0	0	0	0	0	232	254	0	-2.08E-05	6.10E-06	-6.06E-06	-4.69E-05
3	2	0	0	0	0	0	0	232	254	0	-2.09E-05	8.09E-06	-7.47E-06	-2.81E-05
3	3	0	0	0	0	0	0	232	254	0	-2.09E-05	8.09E-06	-7.47E-06	-2.81E-05
3	4	0	0	0	0	0	0	232	254	0	-2.04E-05	1.00E-05	-6.52E-06	-4.90E-06
3	5	0	0	0	0	0	0	232	254	0	-2.04E-05	1.00E-05	-6.52E-06	-4.90E-06
3	6	0	0	0	0	0	0	232	254	0	-2.07E-05	8.47E-06	-5.28E-06	5.58E-06
3	7	0	0	0	0	0	0	232	254	0	-2.17E-05	8.49E-06	-8.22E-06	8.21E-06
3	8	0	0	0	0	0	0	232	254	0	-2.17E-05	8.49E-06	-8.22E-06	8.21E-06
3	9	0	0	0	0	0	0	232	254	0	-2.29E-05	9.41E-06	-1.08E-05	7.00E-06
3	10	0	0	0	0	0	0	232	254	0	-2.29E-05	9.41E-06	-1.08E-05	7.00E-06
